# CoordinateSystem: PROJCS["ETRS89 / UTM zone 32N",GEOGCS["ETRS89",DATUM["European Terrestrial Reference System 1989",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6258"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4258"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",9],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","25832"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Yaw	Pitch	Roll
100_0002_0052.JPG	720009.972918	6192047.667148	124.490072	350.100000	0.100000	-0.000000
100_0002_0053.JPG	720008.122370	6192056.025154	124.510072	348.900000	0.100000	-0.000000
100_0002_0054.JPG	720006.232168	6192064.410137	124.530072	349.100000	0.100000	-0.000000
100_0002_0055.JPG	720003.547500	6192062.840986	124.460072	229.600000	0.100000	-0.000000
100_0002_0056.JPG	719999.599837	6192055.241141	124.490072	212.100000	0.100000	-0.000000
100_0002_0057.JPG	719995.853261	6192047.550043	124.510072	209.600000	0.100000	-0.000000
100_0002_0058.JPG	719991.929791	6192039.893453	124.570072	209.900000	0.100000	-0.000000
100_0002_0059.JPG	719988.163598	6192032.180183	124.510072	209.900000	0.100000	-0.000000
100_0002_0060.JPG	719984.229921	6192024.266626	124.530072	209.700000	0.100000	-0.000000
100_0002_0061.JPG	719980.517796	6192016.340907	124.510072	209.300000	0.100000	-0.000000
100_0002_0062.JPG	719976.656273	6192008.748808	124.470072	209.500000	0.100000	-0.000000
100_0002_0063.JPG	719972.833684	6192000.921188	124.500072	209.600000	0.100000	-0.000000
100_0002_0064.JPG	719969.031941	6191993.028844	124.480072	209.800000	0.100000	-0.000000
100_0002_0065.JPG	719965.334353	6191985.310163	124.470072	209.700000	0.100000	-0.000000
100_0002_0066.JPG	719961.389930	6191977.371557	124.500072	209.700000	0.100000	-0.000000
100_0002_0067.JPG	719957.478837	6191969.555072	124.510072	209.700000	0.100000	-0.000000
100_0002_0068.JPG	719953.608322	6191961.631379	124.520072	209.800000	0.100000	-0.000000
100_0002_0069.JPG	719949.851201	6191953.921958	124.470072	209.700000	0.100000	-0.000000
100_0002_0070.JPG	719945.907735	6191946.111649	124.520072	209.600000	0.100000	-0.000000
100_0002_0071.JPG	719942.080123	6191938.269315	124.520072	209.900000	0.100000	-0.000000
100_0002_0072.JPG	719938.225727	6191930.385485	124.510072	209.900000	0.100000	-0.000000
100_0002_0073.JPG	719934.458626	6191922.636549	124.460072	209.400000	0.100000	-0.000000
100_0002_0074.JPG	719930.648683	6191914.828576	124.490072	210.000000	0.100000	-0.000000
100_0002_0075.JPG	719926.833198	6191907.005831	124.480072	210.100000	0.100000	-0.000000
100_0002_0076.JPG	719923.119429	6191899.231740	124.440072	210.200000	0.100000	-0.000000
100_0002_0077.JPG	719918.991566	6191891.305061	124.470072	210.000000	0.100000	-0.000000
100_0002_0078.JPG	719915.124028	6191883.517598	124.450072	210.200000	0.100000	-0.000000
100_0002_0079.JPG	719911.143478	6191875.693184	124.460072	210.000000	0.100000	-0.000000
100_0002_0080.JPG	719907.227924	6191867.898834	124.500072	209.800000	0.100000	-0.000000
100_0002_0081.JPG	719903.561289	6191860.184024	124.430072	209.500000	0.100000	-0.000000
100_0002_0082.JPG	719899.850975	6191852.315357	124.450072	209.800000	0.100000	-0.000000
100_0002_0083.JPG	719894.979398	6191851.236299	124.450072	294.000000	0.100000	-0.000000
100_0002_0084.JPG	719888.516117	6191856.684158	124.460072	310.300000	0.100000	-0.000000
100_0002_0085.JPG	719882.086868	6191862.216265	124.540072	313.600000	0.100000	-0.000000
100_0002_0086.JPG	719886.317231	6191869.893876	124.460072	27.600000	0.100000	-0.000000
100_0002_0087.JPG	719889.927203	6191877.624750	124.450072	30.200000	0.100000	-0.000000
100_0002_0088.JPG	719893.600454	6191885.493758	124.410072	29.200000	0.100000	-0.000000
100_0002_0089.JPG	719897.378844	6191893.294514	124.390072	28.800000	0.100000	-0.000000
100_0002_0090.JPG	719901.160031	6191901.151169	124.430072	28.900000	0.100000	-0.000000
100_0002_0091.JPG	719904.953582	6191908.937093	124.470072	29.100000	0.100000	-0.000000
100_0002_0092.JPG	719908.831743	6191916.700555	124.470072	29.200000	0.100000	-0.000000
100_0002_0093.JPG	719912.644492	6191924.466277	124.480072	28.200000	0.100000	-0.000000
100_0002_0094.JPG	719916.609450	6191932.435976	124.450072	28.500000	0.100000	-0.000000
100_0002_0095.JPG	719920.581140	6191940.210889	124.510072	28.900000	0.100000	-0.000000
100_0002_0096.JPG	719924.344443	6191948.121300	124.520072	28.900000	0.100000	-0.000000
100_0002_0097.JPG	719928.272594	6191955.838261	124.470072	29.000000	0.100000	-0.000000
100_0002_0098.JPG	719932.049913	6191963.719286	124.470072	28.900000	0.100000	-0.000000
100_0002_0099.JPG	719935.847278	6191971.526626	124.490072	28.400000	0.100000	-0.000000
100_0002_0100.JPG	719939.699154	6191979.335622	124.490072	29.200000	0.100000	-0.000000
100_0002_0101.JPG	719943.357616	6191987.009921	124.490072	29.100000	0.100000	-0.000000
100_0002_0102.JPG	719947.384057	6191994.903610	124.510072	28.300000	0.100000	-0.000000
100_0002_0103.JPG	719951.416013	6192002.824346	124.520072	29.000000	0.100000	-0.000000
100_0002_0104.JPG	719955.188881	6192010.482165	124.490072	29.200000	0.100000	-0.000000
100_0002_0105.JPG	719958.841613	6192018.206366	124.490072	28.200000	0.100000	-0.000000
100_0002_0106.JPG	719962.888897	6192026.145735	124.500072	28.200000	0.100000	-0.000000
100_0002_0107.JPG	719966.749897	6192033.983102	124.480072	28.600000	0.100000	-0.000000
100_0002_0108.JPG	719970.517434	6192041.979639	124.470072	28.800000	0.100000	-0.000000
100_0002_0109.JPG	719974.185388	6192049.773763	124.480072	28.900000	0.100000	-0.000000
100_0002_0110.JPG	719978.301828	6192057.598468	124.440072	29.000000	0.100000	-0.000000
100_0002_0111.JPG	719982.149116	6192065.457459	124.520072	29.200000	0.100000	-0.000000
100_0002_0112.JPG	719976.205288	6192065.499094	124.340072	275.600000	0.100000	-0.000000
100_0002_0113.JPG	719967.276387	6192065.103729	124.410072	269.600000	0.100000	-0.000000
100_0002_0114.JPG	719958.809466	6192064.436352	124.510072	268.700000	0.100000	-0.000000
100_0002_0115.JPG	719955.523712	6192056.284764	124.500072	214.000000	0.100000	-0.000000
100_0002_0116.JPG	719951.586817	6192048.928593	124.560072	210.300000	0.100000	-0.000000
100_0002_0117.JPG	719947.614601	6192041.105664	124.610072	210.600000	0.100000	-0.000000
100_0002_0118.JPG	719943.768259	6192033.127450	124.520072	209.800000	0.100000	-0.000000
100_0002_0119.JPG	719939.908880	6192025.455214	124.550072	209.700000	0.100000	-0.000000
